metric,value_inr_cr_or_per_share,notes
PV of explicit FCFF,5337.61,Present value of five-year FCFF using Level 2 draft public-source inputs
Terminal value,22325.69,Undiscounted Gordon-growth terminal value
PV of terminal value,12117.49,Discounted terminal value
Enterprise value,17455.10,PV of explicit FCFF plus PV of terminal value
Equity value,19912.30,Enterprise value plus net cash estimate
Fair value per share,1322.55,Level 2 draft model output; not a target price
Market price used,7847.00,Delayed public market price proxy used for comparison
Deterministic value vs market price,-83.15%,Deterministic fair value divided by market price minus one
